Valdistriktnamn;Parti;Röster
Uppsamlingsdistrikt;Moderaterna;1041
Uppsamlingsdistrikt;Arbetarepartiet-Socialdemokraterna;1653
Uppsamlingsdistrikt;Liberalerna (tidigare Folkpartiet);386
Uppsamlingsdistrikt;Centerpartiet;502
Uppsamlingsdistrikt;Vänsterpartiet;864
Uppsamlingsdistrikt;Miljöpartiet de gröna;568
Uppsamlingsdistrikt;Kristdemokraterna;261
Uppsamlingsdistrikt;Sverigedemokraterna;598
Uppsamlingsdistrikt;Enhet;1
Uppsamlingsdistrikt;Piratpartiet;15
Uppsamlingsdistrikt;Feministiskt initiativ;8
Uppsamlingsdistrikt;Klassiskt liberala partiet;2
Uppsamlingsdistrikt;Socialisterna-Välfärdspartiet;6
Uppsamlingsdistrikt;Landsbygdspartiet Oberoende;5
Uppsamlingsdistrikt;Direktdemokraterna;6
Uppsamlingsdistrikt;Medborgerlig Samling;22
Uppsamlingsdistrikt;Alternativ för Sverige;18
Uppsamlingsdistrikt;Partiet Vändpunkt;2
Uppsamlingsdistrikt;Partiet Nyans;73
Uppsamlingsdistrikt;Fritt val;1
Uppsamlingsdistrikt;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP);1
Uppsamlingsdistrikt;Knapptryckarna;6
Uppsamlingsdistrikt;Klimatalliansen;5
Uppsamlingsdistrikt;Kristna Värdepartiet;4
Uppsamlingsdistrikt;MoD;3
Uppsamlingsdistrikt;Kalle ankapartiet;1
Uppsamlingsdistrikt;SKP;3
Uppsamlingsdistrikt;Stram Kurs Sverige;1
Uppsamlingsdistrikt;övriga anmälda partier;0
Uppsamlingsdistrikt;Summa giltiga röster;6056
Uppsamlingsdistrikt;ej anmält deltagande;4
Uppsamlingsdistrikt;blanka röster;46
Uppsamlingsdistrikt;övriga ogiltiga;12
Uppsamlingsdistrikt;Valdeltagande;6118
Fjärdingen - Vasaparken;Moderaterna;249
Fjärdingen - Vasaparken;Arbetarepartiet-Socialdemokraterna;209
Fjärdingen - Vasaparken;Liberalerna (tidigare Folkpartiet);106
Fjärdingen - Vasaparken;Centerpartiet;83
Fjärdingen - Vasaparken;Vänsterpartiet;66
Fjärdingen - Vasaparken;Miljöpartiet de gröna;85
Fjärdingen - Vasaparken;Kristdemokraterna;54
Fjärdingen - Vasaparken;Sverigedemokraterna;87
Fjärdingen - Vasaparken;Enhet;1
Fjärdingen - Vasaparken;Piratpartiet;3
Fjärdingen - Vasaparken;Medborgerlig Samling;2
Fjärdingen - Vasaparken;Alternativ för Sverige;2
Fjärdingen - Vasaparken;Kristna Värdepartiet;1
Fjärdingen - Vasaparken;övriga anmälda partier;0
Fjärdingen - Vasaparken;Summa giltiga röster;948
Fjärdingen - Vasaparken;ej anmält deltagande;0
Fjärdingen - Vasaparken;blanka röster;3
Fjärdingen - Vasaparken;övriga ogiltiga;1
Fjärdingen - Vasaparken;Valdeltagande;952
Fjärdingen - Sankt Johannes;Moderaterna;177
Fjärdingen - Sankt Johannes;Arbetarepartiet-Socialdemokraterna;247
Fjärdingen - Sankt Johannes;Liberalerna (tidigare Folkpartiet);89
Fjärdingen - Sankt Johannes;Centerpartiet;114
Fjärdingen - Sankt Johannes;Vänsterpartiet;135
Fjärdingen - Sankt Johannes;Miljöpartiet de gröna;177
Fjärdingen - Sankt Johannes;Kristdemokraterna;29
Fjärdingen - Sankt Johannes;Sverigedemokraterna;54
Fjärdingen - Sankt Johannes;Piratpartiet;2
Fjärdingen - Sankt Johannes;Direktdemokraterna;2
Fjärdingen - Sankt Johannes;Medborgerlig Samling;5
Fjärdingen - Sankt Johannes;Alternativ för Sverige;1
Fjärdingen - Sankt Johannes;MoD;1
Fjärdingen - Sankt Johannes;SKP;1
Fjärdingen - Sankt Johannes;Det minst dåliga partiet;1
Fjärdingen - Sankt Johannes;övriga anmälda partier;0
Fjärdingen - Sankt Johannes;Summa giltiga röster;1035
Fjärdingen - Sankt Johannes;ej anmält deltagande;0
Fjärdingen - Sankt Johannes;blanka röster;3
Fjärdingen - Sankt Johannes;övriga ogiltiga;0
Fjärdingen - Sankt Johannes;Valdeltagande;1038
Fjärdingen - Odinslund;Moderaterna;179
Fjärdingen - Odinslund;Arbetarepartiet-Socialdemokraterna;193
Fjärdingen - Odinslund;Liberalerna (tidigare Folkpartiet);94
Fjärdingen - Odinslund;Centerpartiet;70
Fjärdingen - Odinslund;Vänsterpartiet;87
Fjärdingen - Odinslund;Miljöpartiet de gröna;131
Fjärdingen - Odinslund;Kristdemokraterna;34
Fjärdingen - Odinslund;Sverigedemokraterna;61
Fjärdingen - Odinslund;Piratpartiet;2
Fjärdingen - Odinslund;Medborgerlig Samling;3
Fjärdingen - Odinslund;Alternativ för Sverige;3
Fjärdingen - Odinslund;Partiet Vändpunkt;1
Fjärdingen - Odinslund;Kristna Värdepartiet;3
Fjärdingen - Odinslund;GRÖNA DEMOKRATER;1
Fjärdingen - Odinslund;övriga anmälda partier;0
Fjärdingen - Odinslund;Summa giltiga röster;862
Fjärdingen - Odinslund;ej anmält deltagande;1
Fjärdingen - Odinslund;blanka röster;1
Fjärdingen - Odinslund;övriga ogiltiga;0
Fjärdingen - Odinslund;Valdeltagande;864
Luthagen östra;Moderaterna;150
Luthagen östra;Arbetarepartiet-Socialdemokraterna;181
Luthagen östra;Liberalerna (tidigare Folkpartiet);83
Luthagen östra;Centerpartiet;95
Luthagen östra;Vänsterpartiet;95
Luthagen östra;Miljöpartiet de gröna;119
Luthagen östra;Kristdemokraterna;39
Luthagen östra;Sverigedemokraterna;66
Luthagen östra;Enhet;4
Luthagen östra;Feministiskt initiativ;1
Luthagen östra;Socialisterna-Välfärdspartiet;1
Luthagen östra;Direktdemokraterna;1
Luthagen östra;Alternativ för Sverige;3
Luthagen östra;Partiet Nyans;1
Luthagen östra;Knapptryckarna;1
Luthagen östra;Kristna Värdepartiet;1
Luthagen östra;övriga anmälda partier;0
Luthagen östra;Summa giltiga röster;841
Luthagen östra;ej anmält deltagande;0
Luthagen östra;blanka röster;7
Luthagen östra;övriga ogiltiga;1
Luthagen östra;Valdeltagande;849
Fjärdingen - Orphei drängars plats;Moderaterna;202
Fjärdingen - Orphei drängars plats;Arbetarepartiet-Socialdemokraterna;200
Fjärdingen - Orphei drängars plats;Liberalerna (tidigare Folkpartiet);80
Fjärdingen - Orphei drängars plats;Centerpartiet;83
Fjärdingen - Orphei drängars plats;Vänsterpartiet;52
Fjärdingen - Orphei drängars plats;Miljöpartiet de gröna;81
Fjärdingen - Orphei drängars plats;Kristdemokraterna;26
Fjärdingen - Orphei drängars plats;Sverigedemokraterna;95
Fjärdingen - Orphei drängars plats;Piratpartiet;1
Fjärdingen - Orphei drängars plats;Landsbygdspartiet Oberoende;1
Fjärdingen - Orphei drängars plats;Medborgerlig Samling;3
Fjärdingen - Orphei drängars plats;Alternativ för Sverige;4
Fjärdingen - Orphei drängars plats;övriga anmälda partier;0
Fjärdingen - Orphei drängars plats;Summa giltiga röster;828
Fjärdingen - Orphei drängars plats;ej anmält deltagande;0
Fjärdingen - Orphei drängars plats;blanka röster;0
Fjärdingen - Orphei drängars plats;övriga ogiltiga;0
Fjärdingen - Orphei drängars plats;Valdeltagande;828
Centrum-Linnéträdgården-Mikaelsplan;Moderaterna;223
Centrum-Linnéträdgården-Mikaelsplan;Arbetarepartiet-Socialdemokraterna;334
Centrum-Linnéträdgården-Mikaelsplan;Liberalerna (tidigare Folkpartiet);115
Centrum-Linnéträdgården-Mikaelsplan;Centerpartiet;87
Centrum-Linnéträdgården-Mikaelsplan;Vänsterpartiet;107
Centrum-Linnéträdgården-Mikaelsplan;Miljöpartiet de gröna;101
Centrum-Linnéträdgården-Mikaelsplan;Kristdemokraterna;58
Centrum-Linnéträdgården-Mikaelsplan;Sverigedemokraterna;132
Centrum-Linnéträdgården-Mikaelsplan;Piratpartiet;2
Centrum-Linnéträdgården-Mikaelsplan;Feministiskt initiativ;4
Centrum-Linnéträdgården-Mikaelsplan;Socialisterna-Välfärdspartiet;1
Centrum-Linnéträdgården-Mikaelsplan;Medborgerlig Samling;2
Centrum-Linnéträdgården-Mikaelsplan;Partiet Nyans;2
Centrum-Linnéträdgården-Mikaelsplan;Kristna Värdepartiet;3
Centrum-Linnéträdgården-Mikaelsplan;MoD;4
Centrum-Linnéträdgården-Mikaelsplan;övriga anmälda partier;0
Centrum-Linnéträdgården-Mikaelsplan;Summa giltiga röster;1175
Centrum-Linnéträdgården-Mikaelsplan;ej anmält deltagande;0
Centrum-Linnéträdgården-Mikaelsplan;blanka röster;12
Centrum-Linnéträdgården-Mikaelsplan;övriga ogiltiga;1
Centrum-Linnéträdgården-Mikaelsplan;Valdeltagande;1188
Centrum - Stora torget;Moderaterna;174
Centrum - Stora torget;Arbetarepartiet-Socialdemokraterna;176
Centrum - Stora torget;Liberalerna (tidigare Folkpartiet);43
Centrum - Stora torget;Centerpartiet;56
Centrum - Stora torget;Vänsterpartiet;70
Centrum - Stora torget;Miljöpartiet de gröna;49
Centrum - Stora torget;Kristdemokraterna;34
Centrum - Stora torget;Sverigedemokraterna;96
Centrum - Stora torget;Piratpartiet;3
Centrum - Stora torget;Nordiska motståndsrörelsen;1
Centrum - Stora torget;Alternativ för Sverige;3
Centrum - Stora torget;Basinkomstpartiet;1
Centrum - Stora torget;övriga anmälda partier;0
Centrum - Stora torget;Summa giltiga röster;706
Centrum - Stora torget;ej anmält deltagande;0
Centrum - Stora torget;blanka röster;7
Centrum - Stora torget;övriga ogiltiga;0
Centrum - Stora torget;Valdeltagande;713
Centrum södra;Moderaterna;174
Centrum södra;Arbetarepartiet-Socialdemokraterna;221
Centrum södra;Liberalerna (tidigare Folkpartiet);71
Centrum södra;Centerpartiet;69
Centrum södra;Vänsterpartiet;64
Centrum södra;Miljöpartiet de gröna;76
Centrum södra;Kristdemokraterna;53
Centrum södra;Sverigedemokraterna;105
Centrum södra;Piratpartiet;1
Centrum södra;Feministiskt initiativ;1
Centrum södra;Medborgerlig Samling;2
Centrum södra;Alternativ för Sverige;1
Centrum södra;Klimatalliansen;1
Centrum södra;Kristna Värdepartiet;1
Centrum södra;MoD;1
Centrum södra;övriga anmälda partier;0
Centrum södra;Summa giltiga röster;841
Centrum södra;ej anmält deltagande;0
Centrum södra;blanka röster;4
Centrum södra;övriga ogiltiga;1
Centrum södra;Valdeltagande;846
Centrum - Samariterhemmet;Moderaterna;161
Centrum - Samariterhemmet;Arbetarepartiet-Socialdemokraterna;278
Centrum - Samariterhemmet;Liberalerna (tidigare Folkpartiet);80
Centrum - Samariterhemmet;Centerpartiet;78
Centrum - Samariterhemmet;Vänsterpartiet;78
Centrum - Samariterhemmet;Miljöpartiet de gröna;81
Centrum - Samariterhemmet;Kristdemokraterna;59
Centrum - Samariterhemmet;Sverigedemokraterna;102
Centrum - Samariterhemmet;Piratpartiet;1
Centrum - Samariterhemmet;Socialisterna-Välfärdspartiet;1
Centrum - Samariterhemmet;Medborgerlig Samling;1
Centrum - Samariterhemmet;Alternativ för Sverige;2
Centrum - Samariterhemmet;Klimatalliansen;1
Centrum - Samariterhemmet;Kristna Värdepartiet;1
Centrum - Samariterhemmet;övriga anmälda partier;0
Centrum - Samariterhemmet;Summa giltiga röster;924
Centrum - Samariterhemmet;ej anmält deltagande;1
Centrum - Samariterhemmet;blanka röster;9
Centrum - Samariterhemmet;övriga ogiltiga;1
Centrum - Samariterhemmet;Valdeltagande;935
Höganäs västra;Moderaterna;206
Höganäs västra;Arbetarepartiet-Socialdemokraterna;278
Höganäs västra;Liberalerna (tidigare Folkpartiet);72
Höganäs västra;Centerpartiet;98
Höganäs västra;Vänsterpartiet;86
Höganäs västra;Miljöpartiet de gröna;116
Höganäs västra;Kristdemokraterna;51
