Discount	Mortgage Amount	Market Value	LTV
-0.39	900000	3500000	25
-0.39	950000	3500000	27
-0.45	1000000	3500000	28
-0.45	1050000	3500000	30
-0.45	1100000	3500000	31
-0.45	1150000	3500000	32
-0.45	1200000	3500000	34
-0.45	1250000	3500000	35
-0.45	1300000	3500000	37
-0.45	1350000	3500000	38
-0.45	1400000	3500000	40
-0.45	1450000	3500000	41
-0.47	1500000	3500000	42
-0.47	1550000	3500000	44
-0.47	1600000	3500000	45
-0.47	1650000	3500000	47
-0.47	1700000	3500000	48
-0.47	1750000	3500000	50
-0.47	1800000	3500000	51
-0.47	1850000	3500000	52
-0.47	1900000	3500000	54
-0.47	1950000	3500000	55
-0.50	2000000	3500000	57
-0.50	2050000	3500000	58
-0.50	2100000	3500000	60
-0.47	2150000	3500000	61
-0.47	2200000	3500000	62
-0.47	2250000	3500000	64
-0.42	2300000	3500000	65
-0.42	2350000	3500000	67
-0.42	2400000	3500000	68
-0.42	2450000	3500000	70
-0.42	2500000	3500000	71
-0.42	2550000	3500000	72
-0.42	2600000	3500000	74
-0.37	2650000	3500000	75
-0.27	2700000	3500000	77
-0.23	2750000	3500000	78
-0.20	2800000	3500000	80
-0.15	2850000	3500000	81
-0.15	2900000	3500000	82
-0.15	2950000	3500000	84
-0.10	3000000	3500000	85
-0.10	3050000	3500000	87
-0.10	3100000	3500000	88
-0.10	3150000	3500000	90
-0.10	3200000	3500000	91
-0.10	3250000	3500000	92
-0.10	3300000	3500000	94
-0.10	3350000	3500000	95
-0.10	3400000	3500000	97
-0.10	3450000	3500000	98
-0.10	3500000	3500000	100
